Адрес обращения,Дом,Дата,текст обращения,street
улица Т.Кривова,20,2021-06-03 22:36:57.767,"Благоустройство дворовой территории, ремонт детской площадки по адресу ул. Кривова дом 20 . Жалобы на управляющую компанию.",детский городок
улица Винокурова,33,2021-06-06 20:50:57.812,"Сделать отмостку у дома, асфальт отремонтировать",асфальтовая дорожка
проспект Тракторостроителей,85,2021-06-10 00:01:21.991,-,освещение
улица Бичурина,8,2021-06-05 22:29:48.045,Поставить скамейки. Открыть баню.,спортивная площадка
улица Пролетарская,5,2021-06-10 03:22:39.434,"Ремонт дорог, косметический ремонт дома, 7 подъезд установить ступеньки",брусчатка
бульвар Эгерский,48,2021-06-05 21:08:01.709,Требуется ремонт дороги во дворе.,аллея
улица 50 лет Октября,20,2021-06-04 21:35:03.390,"
Ремонт дорог",пандус
улица Хузангая,1,2021-06-11 22:14:51.331,благоустройство дет. площадки. Ремонт дороги во дворе,детский городок
улица Декабристов,16,2021-06-05 19:27:50.545,"Детская площадка
Ремонт дорог
",детский городок
проспект Тракторостроителей,7,2021-06-07 00:47:58.811,"Благоустройство территории
Ремонт подъездов
Детская и спортивная площадка",спортивная площадка
проспект Мира,38,2021-06-06 16:27:03.204,"Просьба огородить двор от машин
Установить бордюры для палисадника",пандус
улица Мичмана Павлова,68,2021-06-14 15:02:31.844,Обновить детские площадки. Тротуары. Ахазова 5 предусмотреть стоянку для посетителей больницы. Поменять окна в школах и дет. садах,детский городок
улица Декабристов,12,2021-06-06 21:23:21.804,"Детская площадка
Скамейки",детский городок
улица Ленинского Комсомола,36,2021-06-08 20:53:10.036,"Детская площадка во дворе
Ремонт крыши",детский городок
улица Строителей,11,2021-06-14 22:50:33.173,улучшить качество дорог и тротуаров,пандус
бульвар Эгерский,45,2021-06-12 22:05:32.909,Ремонт подъезда №6,пандус
улица 50 лет Октября,22,2021-06-14 16:17:34.845,Прошу возле нашего дома (50 лет Октября) поставить скамейку,игровая площадка
проспект Мира,38,2021-06-06 18:56:15.427,"Замена электропроводки в подъезде
Замена канализационных труб",освещение
проспект Мира,10,2021-06-04 21:58:39.271,Благоустройство прохода через территорию школы №33,пандус
улица Гражданская,92,2021-06-12 13:19:06.930,"Детская площадка пустует (старые качели) усовершенствовать.
Дороги по ЮЗР плохие. 
Отремонтировать дорогу возле детсада 28",детский городок
улица Винокурова,33,2021-06-06 21:08:24.857,Благоустройства двора,освещение
бульвар Юго-Западный,10,2021-06-07 12:52:13.049,"Благоустройство детских площадок, много красивых цветочных клумб, ухоженные территории дворов",детский городок
улица Коллективная,7,2021-06-09 01:35:12.777,"Срезать зелень, деревья перед домом Кирова,11. Подрезать тополь около подъезда 1 Коллективная,7",зелёные насаждения
улица Эльгера,26,2021-06-08 21:37:52.782,"Во дворе домов  Эльгера 28, 32, 30 установить и благоустроить детскую площадку+ тренажеры для взрослых",детский городок
бульвар Юности,2,2021-06-13 20:56:03.554,"Благоустройство площади Республики отвечает требованием программы ""формирование комфортной среды"" сохранение традиций, лицо власти.",аллея
улица Советская,14а,2021-06-12 08:31:38.047,"Сделать хорошее освещение, детскую площадку во дворе на ул. Советская 14а, ремонт в подъезде",освещение
улица Эльгера,26,2021-06-08 21:31:32.358,Отремонтировать крышу дома. в подъезде затапливает после дождя,освещение
бульвар Солнечный,16,2021-06-06 10:20:22.863,Построить школу. Благоустроить детские площадки.,детский городок
улица Эльменя,3,2021-06-07 15:25:41.278,сделать парковку перед подъездом,парк
улица Чернышевского,14,2021-06-07 09:56:07.779,Парковка,парк
улица Богдана Хмельницкого,127 корп. 2,2021-06-07 22:40:32.513,срочно школу,пандус
улица Баумана,12,2021-06-10 06:25:33.228,Детская площадка в мкр Лента,детский городок
улица Петра Алексеева,9,2021-06-07 21:05:21.146,"не застраивать МКД вблизи частного сектора ниже улицы Репина
отремонтировать дороги",освещение
улица Лебедева,25,2021-06-12 18:43:09.949,Благоустроить детскую площадку во дворе дома по улице Лебедева дом 25,детский городок
улица Мичмана Павлова,6,2021-06-12 21:39:37.096, Голосуем за благоустройство школьного бульвара и рощи Гузовского. ,аллея
бульвар Юности,21,2021-06-08 21:25:55.037,"Ремонт дома, подъезда. ",пандус
бульвар Юности,21,2021-06-12 18:12:46.582,"Чердак нужно отремонтировать, заливает 10 этаж. Швы дома обработать. Корыто на чердаках не чистится квартира 39.",брусчатка
улица Советская,77,2021-06-08 22:56:38.386,Детскую площадку сделать,детский городок
улица Советская,33,2021-06-12 08:22:45.838,Повысить пенсию,сквер
улица П.В.Дементьева,7 корп. 1,2021-06-09 12:44:58.614,"
дет.площадки улучшить
спорт площадки",спортивная площадка
улица Хузангая,28,2021-06-11 18:52:20.522,"Улучшение состояния парков, детской площадки, дороги. 
Увеличение з/ платы рабочим, ремонт детских садов.",детский городок
улица Советская,75,2021-06-08 23:06:59.893,Пустой,место тихого отдыха
улица Николая Гастелло,9,2021-06-08 16:13:40.666,Заменить лифты. Оградить газоны. Решетки на общие балконы.,зелёные насаждения
улица 50 лет Октября,17,2021-06-09 19:56:55.981,-,освещение
улица Коммунистическая,25,2021-06-07 18:23:34.267,"Срубить тополь
Обустроить площадку детскую
У жителей аллергия на тополь",детский городок
улица Винокурова,31,2021-06-06 21:02:42.395,"Убрать лавочки перед 2м подъездом и рядом с детской площадкой, т.к. ночью сидят пьяные и шумят",лавочка
улица Заовражная,47,2021-06-06 00:18:41.479,Остановочных павильоны установить. ,лавочка
улица Кукшумская,17,2021-06-11 15:25:11.110,"Ремонт дороги к поликлинике от Кукшумская 17 , через Кукшумская 21",пандус
проспект Мира,23,2021-06-08 23:52:23.818,"ремонт дорог, тротуаров",пандус
проспект Тракторостроителей,45,2021-06-10 03:46:46.929,Очень плохая дорога в д/с 11,пандус
улица П.В.Дементьева,12,2021-06-09 11:20:17.200,"парковки расширить,
школу быстрее",парк
переулок Молодежный,5,2021-06-07 02:11:15.303,"Скамейки во дворе
Турники для сушки белья",спортивная площадка
улица Совхозная (п Лапсары),5,2021-06-10 12:24:05.671,Нужна новая детская площадка около 5 дома,детский городок
проспект Мира,10,2021-06-04 21:52:45.710,Детская площадка во дворе,детский городок
улица Красина,16,2021-06-05 13:25:31.403,Прошу не вырубать деревья по ул. Красина 16.,аллея
улица Энтузиастов,12,2021-06-10 15:29:03.287,скамейку,спортивная площадка
улица Энтузиастов,12,2021-07-06 12:43:55.307,Сделайте хорошую скамейку. Негде сидеть.,игровая площадка
проспект Мира,82,2021-06-08 21:53:45.830,Поменять лифт.,пандус
бульвар А.Миттова,17,2021-06-11 14:22:19.280,"Свои усилия направить на создание комфортной городской среды, в которой будут учитываться безопасность, экология и благоустройство",зелёные насаждения
улица Юннатская,3,2021-06-10 16:10:54.468,Отремонтировать дорогу по улице Юннатская.,освещение
улица Константина Иванова,98,2021-06-05 11:50:45.026,Хотелось бы личного общения депутата с избирателями.,освещение
площадь И.Ф.Скворцова,3,2021-06-10 17:06:30.681,Благоустроить детскую площадку.,детский городок
улица Коммунистическая,24,2021-06-09 22:27:07.574,Посмотреть льготы по начислению за капремонт жильцам старше 70 лет. ,освещение
улица Чернышевского,6,2021-06-11 12:34:51.964,"Маленькая пенсия, нет помощи от местных властей",место тихого отдыха
улица Молодежная,9,2021-06-07 18:55:33.670,Нет детской площадки около дома,аллея
улица Ахазова,7,2021-06-14 04:57:10.076,"Освещение по нашей улице ( очень темно по вечерам), обновить детскую площадку, парковку побольше.",освещение
проезд Энергетиков,3,2021-06-14 16:00:50.767,"Закрыть МФО, облагородить придомовую территорию, обратить внимание на отношение сотрудников МВД к гражданским",зелёные насаждения
улица Эльгера,34,2021-06-14 17:34:01.875,"Прошу ответить вошло ли в программу "" Современный город"" дворовые территории Эльгера д. 34",аллея
улица Энгельса,46 корп. 1,2021-06-15 00:22:04.323,маршрут 37 ездит редко и 22 тролебус ,пандус
улица Пролетарская,5,2021-06-10 02:38:44.623,Обустроить детскую площадку и парковку,детский городок
улица Коммунистическая,22,2021-06-07 18:44:16.126,"Покрасить подъезд
Починить крышу",освещение
улица Радужная,10 корп. 1,2021-06-07 15:48:53.094,"Ужесточить закон о курении в общественых местах.
УК""Управдом"" не проводит собрания жильцов с целью разъяснения законов.",общественный туалет
улица П.В.Дементьева,18 корп. 4,2021-06-08 09:57:44.209,провысить з.п. воспитателям и младшим воспитателям,освещение
улица Гражданская,56,2021-06-05 21:42:38.065,улучшить дет.площадку,детский городок
улица 3-я 40 лет Октября,11,2021-06-06 12:43:32.741,Заполнить овраг землей.,брусчатка
улица Солнечная,32,2021-06-05 15:44:33.725,Сделать бесплатным образование,пандус
улица Болгарстроя,1 корп. 1,2021-06-05 20:29:11.309,Нужна детская площадка.Парк.Парковочные места.,парк
улица Т.Кривова,5,2021-06-04 14:40:56.393,"Обновить детскую площадку по адресу ул. Т.Кривова дом 5, привезти песок, сделать покрытие.",детский городок
улица Афанасьева,14,2021-06-06 00:04:54.454,Закрыть в доме по адресу  ул. Афанасьева 14 пивной магазин.,аллея
улица Советская,5,2021-06-06 21:08:59.578,"Благоустроить сквер, вход перед подъездом заасфальтировать, парковку с газонов убрать",сквер
улица Набережная,25,2021-06-09 09:43:28.441,"Повысить пенсию, повысить заработную плату",сквер
улица Кукшумская,9,2021-06-11 21:02:55.035,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,асфальтовая дорожка
проспект Геннадия Айги,15,2021-06-17 11:36:14.396,Уменьшить квартплату за социальное жилье.,лавочка
бульвар Зеленый,10,2021-06-12 09:24:17.808,"Поставить, обновить детскую площадку возле лорма",детский городок
улица Докучаева,5,2021-06-07 16:55:48.795,лестницу на улице отремонтировать,освещение
улица Советская,45,2021-06-08 21:23:45.195,"Больше парков, чистоту в них ",парк
улица Пржевальского,4,2021-06-06 19:45:27.844,Облагородить Обиковскую рощу.,зелёные насаждения
улица Эльгера,14,2021-06-14 18:22:44.392,"Ремонт 1 подъезда по ул. Эльгера д. 14
Привести в порядок детскую площадку во дворе дома Эльгера д.14",детский городок
улица Афанасьева,19,2021-06-04 23:09:38.014,Ремонт дорог,пандус
улица Парижской Коммуны,2,2021-06-06 01:15:48.697,"На 1 этаже сыро, в лифте нет зеркал",пандус
улица Энтузиастов,27,2021-06-07 13:18:27.860,"Нужно заменить козырек над подъездом и заменить лифт. Подъезды и лестничные пролеты тоже в ужасном состоянии.
Хотелось бы, чтобы в ближайшее время провели капитальный ремонт",аллея
улица Эльгера,13,2021-06-04 15:42:17.954,"ТОС"" Ахазовский"" просит навести порядок в сквере Ахазова ( улица Эльгера 13- Ахазова 13). Вырубить кусты, убрать мусор, организовать ночные патрулирование сотрудников ППС МВД.  ",сквер
улица Клары Цеткин,2А,2021-06-08 18:22:15.569,Пожелание провести газ в дом,пандус
улица Коммунистическая,20,2021-06-04 19:37:38.768,Ремонт подъезда и дороги,пандус
улица Винокурова,99,2021-06-05 17:02:28.499,"На территории ул. Строителей за ""Магнитом"" от Винокурова в сторону Советской сделать озеленение (высадить ель, облагородить улицу, в Юраково нет зеленых зон, прогулочных дорожек, по ул. Пионерской в сторону рощи выполнить тротуар). Велосипедные дорожки в Юраково",велосипедная дорожка/велодорожка
улица Спиридона Михайлова,1,2021-06-12 20:21:55.394,"Образование
Качество образования вузов",освещение
улица Строителей,14,2021-06-09 20:41:39.554,напротив ярмарки находиться ретуальные услуги. нагробные плиты видно прям с остановки . нельзя ли эти ритуальные услуги хронить за зобором чтоб небыло видно,плитка
улица Ахазова,3,2021-06-06 22:07:31.149,Докончить ремонт дорог.,пандус
проспект Мира,29,2021-06-08 20:46:47.754,увеличеть МРОТ,пандус
бульвар Речной,4 корп. 3,2021-06-09 09:30:06.128,Площадки и обустройство набережной,пандус
улица П.В.Дементьева,14,2021-06-09 11:06:36.737,повысить з.п.,пандус
улица Эльгера,32А корп. -,2021-06-11 17:20:47.551,"Очень хочется, что во дворе между домами 30 и 32 по ул. Эльгера появилась хорошая детская площадка, двор большой, гуляет много детей, а площадки практически никакой нет. Так же здесь хотелось бы место и для уличных тренажеров, потому что молодых людей и пенсионеры, среди которых пользуются большим спросом, у нас тоже много",спортивная площадка
"переулок Чандрово, Фермский",13,2021-06-10 19:56:33.562,"Дороги по Фермскому переулку, аптеку, медпункт,вывоз снега в зимний период,связь по телефону, освещение, вылов бездомных собак!!!
Уборка территории водоемов, расширить маршрут общественного транспорта!!!
Увеличить число остановок общественного транспорта",освещение
бульвар А.Миттова,25,2021-06-11 11:23:12.264,Прошу установить доп.автостоянку около нашего дома,брусчатка
улица Гагарина Ю.,51,2021-06-07 02:23:59.822,"Установить навесы в подъездах
Детская площадка
Пандус",пандус
улица Советская,75,2021-06-05 13:45:35.287,Хочу поменять некоторых соседей. Хочу чтобы убрали покрышки из под клумбы.,зелёные насаждения
улица Совхозная (п Лапсары),19,2021-06-10 06:51:45.358,"Пожалуйста, централизуйте выгул собак в посёлке Новые Лапсары!",общественный туалет
улица Молодежная,21,2021-06-07 17:28:15.094,"Нужно больше мест для машин
Можно поставьте новые лавочки",лавочка
проспект Московский,38 корп. 1,2021-06-04 22:49:43.741,Контроль над ценами на промышленные и продовольственные товары. Ремонт дорог. Маленькие зарплаты и пенсии.,навигация
улица Ленинского Комсомола,40,2021-06-08 20:29:50.326,Детская площадка во дворе,детский городок
улица 10 Пятилетки,47,2021-06-04 21:53:56.652,"Хотим, чтоб жить не на трассе, а была улица городской. Есть же объездная дорога или нет? Спасибо!",асфальтовая дорожка
улица Хузангая,21,2021-06-12 20:19:47.622,На месте бывшего к/т  Победа благоустроить территорию,пандус
улица Академика В.Н.Челомея,1,2021-06-08 22:50:17.177,"школа, магазин,",освещение
улица Калинина,101 корп. 1,2021-06-04 20:27:44.381,Детская площадка во дворе,детский городок
улица К.Либкнехта,35Б,2021-06-06 22:40:24.253,Сделать дорогу.,пандус
улица Академика В.Н.Челомея,1,2021-06-08 20:47:33.588,"школу,детские и спорт площадки, магазины, парк",спортивная площадка
проспект Тракторостроителей,43,2021-06-12 06:03:35.082,"Детская площадка, вонь из подвала, дорогое отопление",детский городок
проспект Тракторостроителей,43,2021-06-12 05:59:55.160,"Новую детскую площадку, разобраться с подвалом, воняет",детский городок
улица Энтузиастов,15,2021-06-10 16:02:22.199,"дет.площадка, ремонт дорог около д.17,15,13",детский городок
улица Энтузиастов,15,2021-07-06 12:36:42.530,"Сделать площадку.
Отремонтировать дороги возле домов 17, 15, 13.

",сквер
проспект Мира,88Б,2021-06-12 17:32:15.548,Заменить окна в школе №57,освещение
улица Шумилова,18,2021-06-04 19:55:30.623,Ремонт лифта,пандус
улица Шумилова,18,2021-06-12 23:16:24.482,Прошу скорее отремонтировать лифт в доме,пандус
бульвар Гидростроителей,4,2021-06-14 17:36:49.050,Вопросов нет,сквер
улица Кукшумская,17,2021-06-11 15:38:44.079,Отремонтировать тротуары и дороги,асфальтовая дорожка
улица Кукшумская,17,2021-06-11 15:38:44.082,Отремонтировать тротуары и дороги,асфальтовая дорожка
улица Текстильщиков,3,2021-06-04 20:29:04.512,"Спортивная площадка
Озеленение территории",спортивная площадка
улица Текстильщиков,3,2021-06-04 20:31:41.711,"Ремонт в подъезде
Ремонт дорог",пандус
улица Калинина,102,2021-06-06 21:02:57.792,"Ремонт подъезда
Замена окон",освещение
улица Ленинского Комсомола,25,2021-06-09 09:48:14.479,Улучшение  детской площадки( замена покрытия на резиновый),детский городок
улица Космонавта Николаева А.Г.,30 корп. 1,2021-06-14 00:13:49.612,Очень хотим чтобы сделали новую детскую площадку в нашем дворе по ул. Николаева 30 корпус 1,детский городок
улица Винокурова,99,2021-06-05 16:43:57.210,"Благоустройство велодорожки от Юраково до Иваново, либо до ""Химпрома"", скейтпарк",велосипедная дорожка/велодорожка
улица Парижской Коммуны,2,2021-06-06 01:18:27.621,"при спуске с остановки с Б.Хмельницкого, на перекрестке и внизу к мосту нет перил, опасно ходить с детьми, транспорта много, зимой скользко",детский городок
улица Энтузиастов,23,2021-06-06 21:47:07.744,"дом 23 магазин молоч продуктов машины постоянно ездят, а дороги нормальной нет",пандус
улица Коммунистическая,24,2021-06-09 12:29:24.646,"Просим принять меры по отношению управляющего УК ""Лента"" за бездействия",детский городок
улица Клары Цеткин,22,2021-06-08 18:28:37.900,"Провести канализацию, проход на Ленинского Комсомола",общественный туалет
улица Юннатская,8,2021-06-10 16:13:21.177,Ремонт дороги по улице Юннатская.,аллея
улица Т.Кривова,5,2021-06-04 14:42:30.725,"Обновить детскую площадку по адресу ул. Т.Кривова дом 5, установить качели, снаряды.",детский городок
улица Хузангая,7,2021-06-13 00:03:53.702,"Необходимо улучшить медицинское обслуживание. Мне 75 лет, не могу попасть на приём. Не хватает врачей, куча хронических заболеваний. Обратите внимание на медицину!",освещение
улица П.В.Дементьева,4 корп. 1,2021-06-17 10:37:55.739,Организовать транспортное сообщение между нашим МКР и Юго-западным районом. Ремонт тротуаров.,пандус
улица Пирогова,1 корп. 6,2021-06-07 15:39:41.774,Улучшить работу молодой гвардии. Очень большие очереди в поликлинике.,детский городок
улица Маршака,12 корп. 1,2021-06-08 20:22:41.979,Хотелось бы попросить установить современную детскую площадку перед домом по адресу ул. Маршака д 12к1.,детский городок
проспект Мира,88Б,2021-06-09 12:19:08.614,Поставить во дворе пр. Мира 88Б хоккейную коробку.,брусчатка
улица Советская,21,2021-06-12 12:47:32.431,Пожалуйста постелите асфальт во дворах и со стороны магазинов!!!!! Для детей детские площадки.,детский городок
проспект Ленина,49,2021-06-07 21:53:23.463,"обновить асфалт во дворе 
освещение во дворе ",освещение
проспект Тракторостроителей,54,2021-06-06 15:54:25.640,"Больна пожилая мама, больные ноги, нужна помощь!",сквер
проспект 9-й Пятилетки,28 корп. 39,2021-06-12 21:21:17.710,Привести в порядок тротуар ,асфальтовая дорожка
проспект 9-й Пятилетки,28 корп. 39,2021-06-12 21:20:01.738,стройка,брусчатка
улица Зелинского,4,2021-06-07 17:16:45.519,Ужасные дороги! Срочно решить вопрос дороги (хотя бы посыпать асфальтную крошку) от д.1 до д.13 по ул.Зелинского ,асфальтовая дорожка
бульвар Юности,4,2021-06-09 13:18:07.300,"Нужна парковка
Детская площадка",детский городок
улица Петра Ермолаева,1,2021-06-07 17:16:18.802,"Невозможно оформить пособие с 3 до 7 лет. Изменили трбования к подаче заявления, зато у депутатов и чиновников все льготы сохранились. Слабая поддержка многодетных. Нет льготных лагерей, мало мест.",пандус
бульвар Юности,2,2021-06-12 19:26:05.452,Поставьте пожалуйста окна в 48 школе в 17 кабинете зимой очень холодно. ,освещение
улица Пржевальского,4,2021-06-06 21:05:14.486,Отремонтировать центральную дорогу. Почистить от мусора пруд и ручей.,освещение
улица Энгельса,3,2021-06-09 12:21:15.427,не возможно жить и за машин возле гимназии 4,детский городок
улица Энгельса,1 корп. 1,2021-06-09 12:03:38.776,благоустроиство гимназии 4 и детские площадки ул Энгельса 1к1,детский городок
проспект Московский,38 корп. 2,2021-06-05 00:16:03.398,"Озеленение города, пенсионерам и ветеранам труда льготы по ЖКХ, бесплатный проезд, повысить пенсию.",освещение
улица П.В.Дементьева,18,2021-06-09 11:13:30.669,повысить з/п педагогам,пандус
улица Мичмана Павлова,76,2021-06-08 19:48:47.077,Сделать нормальную дорогу около дома М. Павлова д. 74к1 (одни ямы),пандус
проспект Тракторостроителей,56,2021-06-06 19:29:28.271,Построить школу.,пандус
улица Коллективная,5 корп. 1,2021-06-09 02:05:57.224,Усовершенствовать детскую площадку,детский городок
проспект Мира,88Б,2021-06-09 13:05:45.123,Благоустройство территории около дома по адресу пр. Мира д 88Б.,освещение
улица Строителей,5,2021-06-09 22:39:36.045,"детская площадка., ремонт дорог и тратуаров",детский городок
улица Солнечная,9,2021-06-12 20:26:24.440,Благоустройство территории,освещение
улица Советская,55,2021-06-08 21:17:42.961,Обустроить детскую площадку,детский городок
улица Строителей,11,2021-06-10 08:38:09.511,"ремонт дорог
и детского педиатора со специалистами ",детский городок
улица Ж.Крутовой,13,2021-06-06 21:14:45.979,Сделать косметический ремонт в подъезде ,пандус
проспект Тракторостроителей,81,2021-06-05 23:25:23.707,Новую детскую площадку,детский городок
проспект Тракторостроителей,81,2021-06-07 22:06:46.911,Новую детскую площадку,детский городок
проспект 9-й Пятилетки,6,2021-06-12 07:02:10.097,"Повысить заработную плату бюджетных работников.
Чтоб за кап. ремонт брали не 90% а 70%",лавочка
бульвар Эгерский,18,2021-06-06 21:42:04.376,"Благоустройство двора
Детская площадка",детский городок
улица Чернышевского,29,2021-06-08 10:03:13.701,Пустить троллейбусный маршрут,место тихого отдыха
бульвар А.Миттова,12,2021-06-11 08:57:55.566,"Благоустройство придомовой территории, а именно установить детскую площадку, спортивный инвентарь и зеленые насаждения",спортивная площадка
улица Гагарина Ю.,53 корп. 1,2021-06-07 02:19:06.278,"Детская площадка
Калитку между домом и больницей установить",детский городок
улица Гражданская,62/1,2021-06-12 03:30:08.901,"Ремонт дороги
Побольше парк.мест",парк
улица Фруктовая,10,2021-06-09 03:35:57.650,"Мы жильцы дома 10 по ул.Фруктовой. У нас убрали детский городок во дворе, обещали через год поставить новый - так и ничего.Городок пустой. Детям старше 5 лет нечем заняться. Обещаний не дождались, очень жаль",детский городок
улица Эльгера,32А корп. -,2021-06-12 10:55:45.501,"Вырубить тополя, построить детскую площадку",детский городок
улица 1-ая Путепроводная,241,2021-06-09 01:00:20.573,"Посодействовать в оформлении участка в собственность. Решить вопрос с оврагом в конце улицы, который обваливается с каждым годом и возникает риск обвала жилых домов",освещение
бульвар Юности,19,2021-06-08 19:22:38.639,Ремонт фасада дома. Освещение возле дома,освещение
улица Ленинского Комсомола,25,2021-06-08 20:09:20.483,Парковка во дворе,парк
улица Солнечная,64,2021-06-05 21:27:18.623,"Дорога ""дублер солнечный"" заезд вдоль Солнечной 33 (узкий проезд)",аллея
улица Набережная,25,2021-06-09 09:45:22.704,"Чтоб убрали территорию во дворе жилого Силикатная 22, относящиеся к нежилому объекту",брусчатка
улица К.Либкнехта,18,2021-06-06 22:37:02.740,Провести канализацию.,освещение
улица Ленинского Комсомола,76,2021-06-08 16:18:51.472,Установка шлагбаумов,пандус
проспект Тракторостроителей,78 корп. 1,2021-06-05 22:37:32.658,Построить школу и садик в микрорайоне Лента.,пандус
улица Кукшумская,17,2021-06-11 15:12:58.112,Облагородить детскую площадку,детский городок
улица Хевешская,27,2021-06-14 23:59:10.339,благоустроиство котлована,освещение
улица Винокурова,17,2021-06-12 08:01:39.413,"Сделать трап для инвалидов, в доме трап есть, а на улицу выхода нет",лавочка
улица 2-я Привосточная,6Б,2021-06-09 00:25:04.761,-,освещение
улица Ивана Франко,11,2021-06-05 19:13:24.835,"Ремонт дома и установка навеса от дождя,",брусчатка
проезд Мясокомбинатский 7-я линия,55 корп. Б,2021-06-14 17:14:53.328,Хотели би узнать будет ли снос 7 линии 55 Б. Просим дать точную информацию,аллея
улица Эльменя,34,2021-06-04 23:20:57.116,"школа, шлагбаум, детская площадка, теннисный стол, футбольная коробка",спортивная площадка
улица Строителей,18,2021-06-12 10:41:02.400,Произвести ямочный ремонт дорог,освещение
улица Энтузиастов,31,2021-06-07 12:36:16.510,Дороги во дворах требуют ремонта. Яма на яме.Дворовых парковок тонче нет,парк
улица Винокурова,57,2021-06-08 21:06:29.077,"Зона отдыха для пенсионеров возле дома, во дворе",игровая площадка
улица Энтузиастов,38 корп. 8,2021-06-07 09:40:27.259,"Очень хотим, чтобы поставили детскую площадку, оборудованную качелями, песочницей и горкой!",игровая площадка
улица Короленко,16,2021-06-06 00:43:38.066,"школу в Садовом
дорогу вдоль гаражей
облагородить р.Сугутку
спортивную площадку
прилавок для продажи своей прдукции",спортивная площадка
улица Чернышевского,27,2021-06-07 22:04:44.316,"Мало школ, аптек",пандус
улица Хевешская,11 корп. 2,2021-06-09 11:27:54.125,"отремонтировать дорогу, перед домом",освещение
улица Терешковой,12,2021-06-10 12:53:43.723,"Благоустройство двора, лавочки, ремонт лестницы",лавочка
улица Ж.Крутовой,18,2021-06-08 17:17:10.712,"Нет детской площадки, нет песочницы, просим перенести площадку на торце дома между деревьев , так как гулять не удобно, клещи, комары, отсутствуют скамейки. Сквер нет скамеек",зелёные насаждения
улица Заовражная,34,2021-06-12 18:51:08.404,"Сделать дорогу ( ремонт), нет развлекательных площадок, спортивных площадок. ",спортивная площадка
улица 324 Стрелковой дивизии,21,2021-06-14 18:32:41.791,"Ремонт тротуаров возле дома
Не горят лампочки на фонарях",освещение
улица Радужная,4,2021-06-07 15:00:32.557,"Открыть школу, сбербанк",освещение
улица Ахазова,6,2021-06-12 16:26:11.843,Скамейка перед подъездом. ,спортивная площадка
проспект Мира,68,2021-06-08 09:33:43.143,"Расширить дороги, дороги, трасс. Установить камеры на скоростных трассах.",освещение
проспект Мира,68,2021-06-08 09:37:33.022,Добиться обеспечения детей школьников школьной формой по доступным ценам .Благоустройства дворов по всему городу.,освещение
улица Мичмана Павлова,24,2021-06-09 09:44:04.857,Просим закрыть мусоропровод в нашем доме. Стоит запах и вонь,брусчатка
улица Советская,33,2021-06-12 09:27:21.848,"Увеличить пенсию, уменьшить коммунальные услуги",сквер
улица Эльгера,26,2021-06-12 17:17:11.132,Восстановить бесплатный проезд в городском и пригородном транспорте. ,пандус
бульвар Зеленый,1а,2021-06-06 12:03:29.510,Тротуар,пандус
улица Эльгера,16,2021-06-06 16:27:09.354,"1) Ремонт подъезда по улице Эльгера дом 16. 
2) Обновить полностью детскую площадку за домами Эльгера дом 16. ",детский городок
улица Чернышевского,3,2021-06-14 12:20:16.410,Ремонт дороги во дворе Чернышевского 3,аллея
"улица д. Чандрово, ул. Чандровская 2-я",1,2021-06-10 20:40:25.994,"Очистные сооружения!
Дорога плохая!!!
Дом под снос",брусчатка
улица Кадыкова,17,2021-06-08 20:43:20.775,Ремонт дорог и тротуаров,пандус
бульвар Эгерский,41,2021-06-12 22:22:39.348,Ремонт дороги вокруг дома. спортивную площадку,спортивная площадка
проспект Тракторостроителей,49,2021-06-16 15:16:24.841,Косметический ремонт дома 49. Лифт. Обновить детскую площадку,детский городок
улица Советская,67,2021-06-11 23:27:02.293,Сколько ломали ноги из-за асфальта! Невозможно! Очень просим Вас обратить внимание на асфальт! У нашего дома нет детской площадки! ТСЖ совсем не работает. Не принимают обращения.,асфальтовая дорожка
улица Первомайская,39,2021-06-12 07:06:28.967,Хотим скамейку у подъезда и урну,спортивная площадка
улица Воинов интернационалистов,41,2021-06-04 22:16:04.442,Капитальный ремонт в подъезде,пандус
улица Эльгера,16,2021-06-15 20:37:52.664,Благоустройство пред подъездной территории (  новые лавочки. отремонтировать тротуар) ,лавочка
улица Космонавта Николаева А.Г.,44,2021-06-07 13:43:03.579,"Детская и спортивная площадка
",спортивная площадка
улица Ашмарина,34А,2021-06-05 21:56:46.911,Открыть Южную баню. Поставить скамейки возле дома. Отремонтировать тротуар. Открыть сбербанк. В больницах не хватает врачей.,освещение
бульвар Гидростроителей,2,2021-06-14 14:18:23.651,"Ремонт в подъезде, облагородить деревья во дворе",зелёные насаждения
улица Академика Королева,5,2021-06-06 22:14:27.442,"дороги, тротуары, освещение, крыша течет",освещение
улица Энтузиастов,11,2021-07-06 13:24:11.749,"Благоустроить двор Энтузиастов 11.
",зелёные насаждения
улица Богдана Хмельницкого,49,2021-06-07 21:29:52.868,установить спортивные тренажеры грунт для цветник,спортивная площадка
бульвар Гидростроителей,4,2021-06-14 17:36:02.725,Усовершенствовать детскую и спортивную площадку,спортивная площадка
бульвар Эгерский,41,2021-06-12 22:33:09.501,"ремонт дороги во дворе.
достойная з/плата в Чебоксарах
вернуть пенсионный возраст",детский городок
